epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,646.01,1.26023,2.24234,1.72054,0.75234,0.82455,0.80418,0.51335,0.98152,2.35866,1.5496,0.000473375,0.000473375,0.000473375
2,1252.05,0.86834,1.45755,1.3416,0.82068,0.80907,0.88407,0.70545,0.63531,1.49531,0.85678,0.000940306,0.000940306,0.000940306
3,1757.03,0.79938,1.24851,1.28717,0.80879,0.86547,0.91376,0.77729,0.63355,1.07762,0.9012,0.00139781,0.00139781,0.00139781
4,2261.14,0.76689,1.1454,1.25418,0.84035,0.86414,0.91912,0.80799,0.52807,1.02219,0.77828,0.00138656,0.00138656,0.00138656
5,2752.15,0.70301,1.02828,1.20567,0.79316,0.77207,0.82304,0.72337,0.52059,0.99298,0.79755,0.00137241,0.00137241,0.00137241
6,3245.5,0.69662,0.96302,1.20626,0.85551,0.85284,0.91778,0.80862,0.56004,0.82856,0.84195,0.00135826,0.00135826,0.00135826
7,3778.83,0.64201,0.88874,1.16645,0.78867,0.87037,0.91167,0.74603,0.67458,0.80804,0.91879,0.00134412,0.00134412,0.00134412
8,4284.48,0.62192,0.83782,1.1568,0.87267,0.87719,0.92089,0.78502,0.61856,0.74403,0.82116,0.00132997,0.00132997,0.00132997
9,4788.74,0.60043,0.80421,1.13294,0.78025,0.88345,0.90252,0.75879,0.62056,0.75205,0.95398,0.00131582,0.00131582,0.00131582
10,5275.52,0.58006,0.78337,1.11208,0.81193,0.84757,0.93108,0.79796,0.51948,0.78195,0.80866,0.00130168,0.00130168,0.00130168
11,5777.67,0.5747,0.76212,1.11549,0.8895,0.90651,0.95401,0.85209,0.50728,0.60225,0.72747,0.00128753,0.00128753,0.00128753
12,6275.83,0.53274,0.75495,1.08636,0.81871,0.92634,0.92004,0.86635,0.39147,0.62082,0.62351,0.00127338,0.00127338,0.00127338
13,6771.24,0.55063,0.73829,1.10135,0.84801,0.83892,0.93633,0.81886,0.52465,0.68852,0.79563,0.00125923,0.00125923,0.00125923
14,7283.02,0.53602,0.72338,1.09427,0.85589,0.87407,0.90757,0.83398,0.409,0.66964,0.63491,0.00124509,0.00124509,0.00124509
15,7787.65,0.51052,0.71773,1.08369,0.83796,0.9304,0.9359,0.88482,0.35523,0.51616,0.58678,0.00123094,0.00123094,0.00123094
16,8290.77,0.4979,0.68715,1.06854,0.89051,0.91236,0.94138,0.87413,0.4313,0.55113,0.6312,0.00121679,0.00121679,0.00121679
17,9031.99,0.49503,0.6659,1.06856,0.88585,0.94762,0.9641,0.91217,0.36758,0.47226,0.57212,0.00120265,0.00120265,0.00120265
18,9547.57,0.48419,0.67081,1.06236,0.8437,0.88502,0.94201,0.86059,0.41881,0.58435,0.59398,0.0011885,0.0011885,0.0011885
19,10041.6,0.4884,0.6591,1.06461,0.87122,0.91026,0.94669,0.86601,0.43959,0.49575,0.58834,0.00117435,0.00117435,0.00117435
20,10533.8,0.47213,0.61533,1.06208,0.91252,0.91081,0.96478,0.90643,0.38617,0.47961,0.5878,0.00116021,0.00116021,0.00116021
21,11035.6,0.46395,0.64225,1.04787,0.85301,0.90944,0.93466,0.87292,0.38649,0.53879,0.57885,0.00114606,0.00114606,0.00114606
22,11531.4,0.45131,0.61594,1.04414,0.9165,0.93423,0.94901,0.90008,0.35334,0.44002,0.54966,0.00113191,0.00113191,0.00113191
23,12019.7,0.46346,0.61847,1.03868,0.90422,0.93936,0.97381,0.91226,0.388,0.44598,0.61128,0.00111776,0.00111776,0.00111776
24,12514.4,0.45672,0.60468,1.03775,0.81543,0.89768,0.95063,0.88469,0.32317,0.57273,0.48653,0.00110362,0.00110362,0.00110362
25,13007.9,0.44668,0.59659,1.04052,0.8938,0.90356,0.96512,0.85757,0.5272,0.49522,0.74426,0.00108947,0.00108947,0.00108947
26,13503.1,0.4355,0.57983,1.02371,0.89376,0.90867,0.96025,0.92409,0.30708,0.4514,0.50668,0.00107532,0.00107532,0.00107532
27,13997.8,0.42966,0.56859,1.01851,0.91047,0.90109,0.96093,0.92006,0.33983,0.44486,0.51582,0.00106118,0.00106118,0.00106118
28,14489.7,0.42264,0.57035,1.02299,0.8979,0.92534,0.96834,0.90203,0.40509,0.4422,0.5985,0.00104703,0.00104703,0.00104703
29,14991.1,0.42436,0.5654,1.03181,0.86818,0.93263,0.95604,0.90925,0.32917,0.45843,0.50435,0.00103288,0.00103288,0.00103288
30,15490.3,0.41024,0.56937,1.01398,0.89888,0.94083,0.96872,0.9029,0.38657,0.44404,0.61884,0.00101873,0.00101873,0.00101873
31,15984.7,0.39948,0.56479,1.00882,0.88453,0.96855,0.97137,0.93448,0.3297,0.42253,0.4656,0.00100459,0.00100459,0.00100459
32,16480.9,0.39271,0.53031,1.00637,0.9056,0.92719,0.96349,0.92742,0.31562,0.4245,0.46596,0.00099044,0.00099044,0.00099044
33,16974.4,0.39031,0.53635,1.00098,0.86968,0.92696,0.96223,0.90989,0.36621,0.42522,0.51356,0.000976293,0.000976293,0.000976293
34,17467.6,0.38366,0.5245,1.00315,0.90038,0.93294,0.97011,0.92981,0.32486,0.3955,0.48045,0.000962146,0.000962146,0.000962146
35,17962.1,0.38201,0.52319,1.00045,0.87904,0.8905,0.96598,0.9308,0.29459,0.51179,0.44426,0.000947999,0.000947999,0.000947999
36,18461,0.3704,0.52044,0.99952,0.93531,0.93858,0.97145,0.95176,0.24364,0.36858,0.40212,0.000933851,0.000933851,0.000933851
37,18956.1,0.36721,0.49644,0.99261,0.91119,0.92639,0.96745,0.93204,0.30256,0.37269,0.42324,0.000919704,0.000919704,0.000919704
38,19451.9,0.37595,0.50914,1.00363,0.86999,0.93084,0.96617,0.93482,0.28615,0.4063,0.4509,0.000905557,0.000905557,0.000905557
39,19949.1,0.37657,0.49817,1.00288,0.91898,0.90711,0.97105,0.94251,0.26926,0.34893,0.41416,0.00089141,0.00089141,0.00089141
40,20452,0.35887,0.48653,0.9842,0.89773,0.95057,0.97439,0.92728,0.34112,0.37194,0.49762,0.000877263,0.000877263,0.000877263
41,20946,0.36428,0.48814,0.98949,0.88605,0.91353,0.96509,0.92537,0.30189,0.43522,0.44747,0.000863116,0.000863116,0.000863116
42,21444.3,0.34842,0.50129,0.98147,0.91682,0.92655,0.96968,0.93903,0.29541,0.39005,0.46802,0.000848969,0.000848969,0.000848969
43,21940.5,0.35258,0.48701,0.9912,0.90578,0.92117,0.9687,0.94622,0.25933,0.37022,0.38926,0.000834822,0.000834822,0.000834822
44,22438.4,0.35806,0.48524,0.98742,0.90874,0.96032,0.97628,0.94181,0.27775,0.36054,0.42458,0.000820675,0.000820675,0.000820675
45,22963.2,0.35523,0.48543,0.98531,0.88762,0.93046,0.96985,0.95355,0.26066,0.40988,0.38972,0.000806528,0.000806528,0.000806528
46,23483.8,0.35261,0.48706,0.98942,0.93103,0.93625,0.97663,0.95205,0.25169,0.34767,0.41402,0.00079238,0.00079238,0.00079238
47,23987.5,0.3418,0.46718,0.9872,0.89747,0.967,0.98036,0.95559,0.26412,0.33063,0.42991,0.000778233,0.000778233,0.000778233
48,24491.5,0.33906,0.46184,0.98354,0.92836,0.9365,0.97715,0.96381,0.22589,0.34304,0.37174,0.000764086,0.000764086,0.000764086
49,24990.6,0.33287,0.43916,0.97725,0.93888,0.91941,0.96603,0.94538,0.25019,0.36198,0.39085,0.000749939,0.000749939,0.000749939
50,25492.2,0.33145,0.45098,0.97752,0.92818,0.94582,0.97983,0.95997,0.2387,0.3226,0.38726,0.000735792,0.000735792,0.000735792
51,25962.8,0.31837,0.43507,0.96816,0.93988,0.94291,0.9819,0.9735,0.20533,0.30071,0.33916,0.000721645,0.000721645,0.000721645
52,26458.8,0.31731,0.42508,0.96723,0.94257,0.94555,0.97646,0.96433,0.22898,0.32121,0.37954,0.000707498,0.000707498,0.000707498
53,26953.4,0.32588,0.43102,0.97545,0.93399,0.93394,0.97556,0.96631,0.19945,0.32363,0.32937,0.000693351,0.000693351,0.000693351
54,27453.6,0.31932,0.43689,0.96697,0.91838,0.97279,0.98404,0.97725,0.20502,0.27904,0.34959,0.000679204,0.000679204,0.000679204
55,27949.6,0.31729,0.42507,0.96575,0.95225,0.92171,0.98188,0.96682,0.21944,0.29715,0.35481,0.000665057,0.000665057,0.000665057
